Function Stack                                                                                               CPU Time:Total  CPU Time:Effective Time:Total  CPU Time:Spin Time:Total  CPU Time:Overhead Time:Total  CPU Time:Self  CPU Time:Effective Time:Self  CPU Time:Spin Time:Self  CPU Time:Overhead Time:Self  Module            Function (Full)                                                                                                                 Source File                Start Address
-----------------------------------------------------------------------------------------------------------  --------------  -----------------------------  ------------------------  ----------------------------  -------------  ----------------------------  -----------------------  ---------------------------  ----------------  ------------------------------------------------------------------------------------------------------------------------------  -------------------------  -------------
    func@0x776b0                                                                                                     0.314%                         0.314%                                                                 0.260s                        0.260s                       0s                           0s  libm.so.6         func@0x776b0                                                                                                                    [Unknown]                  0x776b0      
    Set_Partial_Array<int*>                                                                                          0.229%                         0.229%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x5063e2     
     __memmove_avx_unaligned_erms                                                                                    0.229%                         0.229%                                                                 0.190s                        0.190s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
    Set_Partial_Array<int*>                                                                                          0.206%                         0.206%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Set_Partial_Array<int*>(int*, int*, unsigned long)                                                                              cuda_lib_particle_m_1.hxx  0x5061cb     
     __memmove_avx_unaligned_erms                                                                                    0.206%                         0.206%                                                                 0.170s                        0.170s                       0s                           0s  libc.so.6         __memmove_avx_unaligned_erms                                                                                                    [Unknown]                  0xcee30      
    func@0x7e5b4                                                                                                     0.157%                         0.157%                                                                 0.130s                        0.130s                       0s                           0s  libm.so.6         func@0x7e5b4                                                                                                                    [Unknown]                  0x7e5b4      
    Thread::addWork                                                                                                  0.036%                         0.036%                                                                 0.010s                        0.010s                       0s                           0s  particle_m_1.exe  Thread::addWork(std::function<void (void)>)                                                                                     [Unknown]                  0xbad580     
     operator new                                                                                                    0.012%                         0.012%                                                                 0.010s                        0.010s                       0s                           0s  libstdc++.so.6    operator new(unsigned long)                                                                                                     new_op.cc                  0xa9549      
     Task::Task                                                                                                      0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  Task::Task(std::function<void (void)>&)                                                                                         Task.cxx                   0x503646     
      std::function<void (void)>::operator=                                                                          0.012%                         0.012%                                                                     0s                            0s                       0s                           0s  particle_m_1.exe  std::function<void (void)>::operator=(std::function<void (void)> const&)                                                        std_function.h             0x503646     
